order_id,order_date,customer_id,store_id,employee_id,channel,total_amount,discount_amount,final_amount,payment_method,status
ORD001,2025-01-15,CUST001,ST001,EMP001,Online,1250000,125000,1125000,Credit Card,Completed
ORD002,2025-01-15,CUST002,ST002,EMP005,In-Store,850000,0,850000,Cash,Completed
ORD003,2025-01-16,CUST003,ST001,EMP002,Online,2100000,210000,1890000,E-Wallet,Completed
ORD004,2025-01-16,CUST004,ST003,EMP008,In-Store,450000,45000,405000,Credit Card,Completed
ORD005,2025-01-17,CUST005,ST002,EMP006,Mobile App,1650000,165000,1485000,E-Wallet,Completed
ORD006,2025-01-17,CUST001,ST001,EMP001,Online,980000,0,980000,Credit Card,Completed
ORD007,2025-01-18,CUST006,ST004,EMP010,In-Store,1200000,120000,1080000,Cash,Completed
ORD008,2025-01-18,CUST007,ST003,EMP009,Mobile App,2500000,250000,2250000,Credit Card,Completed
ORD009,2025-01-19,CUST008,ST001,EMP003,Online,750000,75000,675000,E-Wallet,Completed
ORD010,2025-01-19,CUST009,ST005,EMP012,In-Store,1850000,0,1850000,Cash,Completed
ORD011,2025-01-20,CUST010,ST002,EMP007,Mobile App,1100000,110000,990000,Credit Card,Completed
ORD012,2025-01-20,CUST002,ST004,EMP011,In-Store,650000,65000,585000,Cash,Completed
ORD013,2025-01-21,CUST011,ST001,EMP004,Online,1950000,195000,1755000,E-Wallet,Completed
ORD014,2025-01-21,CUST012,ST003,EMP008,In-Store,880000,0,880000,Credit Card,Completed
ORD015,2025-01-22,CUST013,ST005,EMP013,Mobile App,1450000,145000,1305000,E-Wallet,Completed
ORD016,2025-01-22,CUST003,ST001,EMP002,Online,3200000,320000,2880000,Credit Card,Completed
ORD017,2025-01-23,CUST014,ST004,EMP010,In-Store,1750000,0,1750000,E-Wallet,Completed
ORD018,2025-01-23,CUST015,ST002,EMP006,Mobile App,920000,92000,828000,Cash,Completed
ORD019,2025-01-24,CUST001,ST001,EMP001,Online,1100000,110000,990000,Credit Card,Completed
ORD020,2025-01-24,CUST016,ST003,EMP009,In-Store,2800000,280000,2520000,E-Wallet,Completed
