item_id,order_id,product_id,quantity,unit_price,subtotal,discount
ITEM001,ORD001,PROD001,2,350000,700000,70000
ITEM002,ORD001,PROD015,1,550000,550000,55000
ITEM003,ORD002,PROD008,3,150000,450000,0
ITEM004,ORD002,PROD012,2,200000,400000,0
ITEM005,ORD003,PROD003,1,1200000,1200000,120000
ITEM006,ORD003,PROD020,3,300000,900000,90000
ITEM007,ORD004,PROD007,1,250000,250000,25000
ITEM008,ORD004,PROD011,1,200000,200000,20000
ITEM009,ORD005,PROD005,2,450000,900000,90000
ITEM010,ORD005,PROD018,1,750000,750000,75000
ITEM011,ORD006,PROD002,1,580000,580000,0
ITEM012,ORD006,PROD009,2,200000,400000,0
ITEM013,ORD007,PROD014,4,300000,1200000,120000
ITEM014,ORD008,PROD004,1,1500000,1500000,150000
ITEM015,ORD008,PROD016,2,500000,1000000,100000
ITEM016,ORD009,PROD001,1,350000,350000,35000
ITEM017,ORD009,PROD009,2,200000,400000,40000
ITEM018,ORD010,PROD017,2,750000,1500000,0
ITEM019,ORD010,PROD006,1,280000,280000,0
ITEM020,ORD010,PROD009,1,200000,200000,0
ITEM021,ORD011,PROD005,1,450000,450000,45000
ITEM022,ORD011,PROD012,2,200000,400000,40000
ITEM023,ORD011,PROD010,5,70000,350000,35000
ITEM024,ORD012,PROD007,1,250000,250000,25000
ITEM025,ORD012,PROD009,2,200000,400000,40000
ITEM026,ORD013,PROD003,1,1200000,1200000,120000
ITEM027,ORD013,PROD015,1,550000,550000,55000
ITEM028,ORD013,PROD011,1,200000,200000,20000
ITEM029,ORD014,PROD008,2,150000,300000,0
ITEM030,ORD014,PROD002,1,580000,580000,0
ITEM031,ORD015,PROD005,2,450000,900000,90000
ITEM032,ORD015,PROD015,1,550000,550000,55000
ITEM033,ORD016,PROD003,2,1200000,2400000,240000
ITEM034,ORD016,PROD004,1,1500000,1500000,150000
ITEM035,ORD017,PROD017,2,750000,1500000,0
ITEM036,ORD017,PROD010,5,70000,350000,0
ITEM037,ORD018,PROD005,1,450000,450000,45000
ITEM038,ORD018,PROD009,2,200000,400000,40000
ITEM039,ORD018,PROD010,1,70000,70000,7000
ITEM040,ORD019,PROD001,2,350000,700000,70000
ITEM041,ORD019,PROD009,2,200000,400000,40000
ITEM042,ORD020,PROD004,1,1500000,1500000,150000
ITEM043,ORD020,PROD003,1,1200000,1200000,120000
ITEM044,ORD020,PROD010,2,70000,140000,14000
