target_id,month,year,employee_id,store_id,team_id,primary_channel,target_revenue,target_orders,target_conversion_rate,target_avg_transaction,target_upsell_rate
TG_EMP001_01,January,2025,EMP001,ST001,TEAM01,Online,150000000,120,0.2,1250000,0.15
TG_EMP002_01,January,2025,EMP002,ST001,TEAM01,Online,120000000,100,0.18,1200000,0.12
TG_EMP003_01,January,2025,EMP003,ST001,TEAM01,In-Store,130000000,110,0.28,1182000,0.1
TG_EMP004_01,January,2025,EMP004,ST001,TEAM01,In-Store,100000000,70,0.22,1429000,0.08
TG_EMP005_01,January,2025,EMP005,ST002,TEAM02,Online,110000000,95,0.19,1158000,0.14
TG_EMP006_01,January,2025,EMP006,ST002,TEAM02,In-Store,120000000,105,0.26,1143000,0.11
TG_EMP007_01,January,2025,EMP007,ST002,TEAM02,Mobile App,70000000,80,0.16,875000,0.09
TG_EMP008_01,January,2025,EMP008,ST003,TEAM03,In-Store,150000000,140,0.25,1071000,0.13
TG_EMP009_01,January,2025,EMP009,ST003,TEAM03,Mobile App,100000000,100,0.15,1000000,0.08
TG_EMP010_01,January,2025,EMP010,ST004,TEAM04,In-Store,250000000,200,0.28,1250000,0.16
TG_EMP011_01,January,2025,EMP011,ST004,TEAM04,Online,200000000,150,0.2,1333000,0.14
TG_EMP012_01,January,2025,EMP012,ST005,TEAM05,In-Store,120000000,130,0.22,923000,0.1
TG_EMP013_01,January,2025,EMP013,ST005,TEAM05,Mobile App,80000000,90,0.14,889000,0.07
